Name,Internal ID
FG000001 UFC GFCO PALM 950mLX12 PET LOC,21559
FG000003 UFC GFCO PALM 250mLX48 SUP LOC,21556
FG000004 UFC GFCO PALM 485mLX24 PET LOC,21557
FG000005 UFC GFCO PALM 1LX12 SUP LOC,21560
FG000006 UFC GFCO PALM 2LX6 SUP LOC,21561
FG000007 UFC GFCO PALM 3.785LX6 PCON LOC,21562
FG000008 UFC GFCO PALM 500mLX24 SUP LOC,21558
FG000011 UFC HFCO PALM 3.785LX6 PET,21549
FG000012 UFC HFCO PALM 350mLX24 PET,21545
FG000013 UFC HFCO PALM 1LX12 PET,21547
FG000014 UFC HFCO PALM 2LX6 SUP,21548
FG000015 UFC HFCO PALM 1LX12 SUP,21546
FG000016 UFC HFCO PALM 110MLX72 SUP,21544
FG000018 UFC HFCO PALM 50mLX144 SACHET,21543
FG000021 UFC GFCO CANOLA 1LX12 PET,21550
FG000022 UFC GFCO CANOLA 2LX6 PET,21551
FG000023 UFC GFCO CORN 1LX12 PET,21552
FG000024 UFC GFCO CORN 2LX6 PET,21553
FG000025 UFC GFCO SOYA 1LX12 PET,21554
FG000026 UFC GFCO SOYA 2LX6 PET,21555
FG000027 DP WHT VIN 20mLX240 SACH,21567
FG000028 DP WHT VIN 60mLX144 SACH,21568
FG000029 DP WHT VIN 110mLX72 SUP,21569
FG000029A Datu Puti White Vinegar 100mlx72,33690
FG000030 DP WHT VIN 200mLX60 SUP,21570
FG000031 DP WHT VIN 385mLX30 SUP,21573
FG000032 DP VIN 350MLX24 BOT,21571
FG000033 DP WHT VIN 385MLX24 PET,39531
FG000034 DP WHT VIN 1LX12 SUP,21576
FG000035 DP WHT VIN 1LX12 PET,21575
FG000041 AMIHAN VIN 12 X 1 L,37713
FG000042 AMIHAN VIN 8 X 2 L,37714
FG000043 AMIHAN VIN 4LX4 PCON,37715
FG000045 DP WHT VIN 385mLX24 PCON,21574
FG000047 DP WHT VIN 2LX8 PCON,21577
FG000048 DP WHT VIN 4LX4 PCON,22989
FG000049 DP WHT VIN 375mLX24 BOT,21572
FG000050 DP WHT VIN 19LX1 CARBOY,21579
FG000051 DP WHT VIN 19LX1 BIB,21580
